语汇,一级分类,二级分类,描述,关联语汇,关联语汇（反向）,主图
古典纹样,造型语言,,将传统经典图案（如回纹、祥云纹等）运用于墙面、家具或软装装饰，通过雕刻、印花、刺绣等工艺呈现，营造典雅庄重、富有文化底蕴的空间氛围。,,,
几何放射纹,造型语言,,以中心点为基准，向外呈放射状分布几何线条或图形；通常会营造出具有视觉张力、动态感和向心性的空间氛围。,,,
屏风隔断,造型语言,,采用屏风作为空间分隔元素的设计做法，一般会形成虚实相间、层次丰富且具有东方雅致韵味的空间氛围。,,,
壁龛,造型语言,,在墙面开凿凹陷空间形成壁龛，常通过不同材质、灯光搭配营造精致、静谧且富有层次的空间氛围。,,,
拉槽处理,造型语言,,在物体表面通过切割或压制形成条状凹槽的工艺做法，一般会形成富有层次感、线条感和秩序感的空间氛围，增强界面的立体感与细节表现力。,,,
勾边,造型语言,,用线条勾勒物体轮廓的造型做法，使空间界面轮廓清晰，层次分明，营造出利落、精致且具有秩序感的氛围。,,,
柱廊,造型语言,,用柱子排列形成走廊状结构，一般会形成庄重、有序且具有引导性的空间氛围,,,
大地色系,色彩,,大地色系一般会形成自然、质朴、温暖且具有亲和力的空间氛围。,,,
奶油色系,色彩,,奶油色系一般会形成柔和、温暖、治愈且带有自然质感的空间氛围。,,,
冷暖对比调,色彩,,冷暖对比调通过冷暖色并置形成视觉张力，常见于墙面与家具配色、软装饰品搭配等设计手法，能营造出既活泼又富有层次感的空间氛围，使室内环境在对比中达到平衡与和谐。,,,
多巴胺色调,色彩,,多巴胺色调一般会形成活泼、愉悦、充满活力的空间氛围。,,,
深色调,色彩,,深色调色彩在室内设计中一般会形成沉稳、静谧、富有质感的空间氛围，同时能营造出私密、高级且具有收缩感的视觉效果。,,,
浅色调,色彩,,浅色调一般会形成明亮、通透、开阔且具有轻松感的空间氛围。,,,
高级灰,色彩,,高级灰是一种低饱和度、中性柔和的灰色调，在室内设计中通常能营造出沉稳、雅致、内敛且富有质感的空间氛围，兼具现代简约与经典韵味，给人以宁静舒适且不失格调的视觉感受。,,,
原木色调,色彩,,原木色调通常会形成自然、温馨、质朴且带有亲和力的空间氛围，能让室内环境呈现出舒适放松、贴近自然的感觉。,,,
自然中性色调,色彩,,自然中性色调一般会形成宁静、舒适、温和且具有亲和力的空间氛围，能营造出简约、自然、不张扬的室内环境，给人一种放松、平和的感觉。,,,
黑白对比,色彩,,黑白对比在室内设计中通过黑色与白色的搭配形成强烈视觉反差，常见设计手法包括以白色为空间主基调搭配黑色家具、装饰线条或局部墙面，或采用黑白几何图案的地砖、壁纸等；空间氛围感受上，通常营造出简洁、现代、时尚且富有层次感的效果，同时兼具经典与理性之美。,,,
复古点缀色,色彩,,复古点缀色一般会在空间中营造出兼具经典韵味与现代活力的氛围，既保留了复古色彩的历史感与温度，又通过局部点缀避免了整体的沉闷，为室内空间增添独特的怀旧情调与视觉焦点。,,,
色彩碰撞,色彩,,“色彩碰撞”在室内设计中一般会形成富有活力、视觉冲击力强且个性鲜明的空间氛围。,,,
色彩调和,色彩,,色彩调和一般会形成和谐、统一、舒适的空间氛围。,,,
绿色系点缀,色彩,,绿色系点缀一般会形成清新自然、富有生机且不失雅致的空间氛围，能为室内环境注入活力，缓解视觉疲劳，营造出轻松舒适的感觉。,,,
彩色块面,色彩,,彩色块面一般会形成活泼、明快且富有视觉冲击力的空间氛围。,,,
复古材质质感,材质,,复古材质质感一般会形成怀旧、温暖且富有历史韵味的空间氛围，通过呈现材质本身的自然纹理、岁月痕迹和经典色泽，营造出兼具故事感与人文气息的室内环境。,,,
艺术涂料,材质,,艺术涂料能营造出富有层次感、艺术气息且质感细腻的空间氛围，兼具个性与独特的视觉效果。,,,
艺术玻璃,材质,,艺术玻璃作为室内设计材质，通常能营造出通透灵动、富有艺术气息的空间氛围，光影透过玻璃产生的折射与色彩变化，可增添空间的层次感和梦幻感。,,,
透光云石,材质,,透光云石在室内设计中通常会形成柔和、朦胧且富有自然纹理感的空间氛围。,,,
拼花地板,材质,,拼花地板能营造出精致、典雅且富有层次感的空间氛围，常带有复古或艺术气息，能提升室内的整体格调与视觉趣味。,,,
镜面,材质,,镜面材质在室内设计中通常会形成明亮、通透且具有扩大空间视觉效果的氛围，同时能增加空间的时尚感与现代感，通过反射周围环境营造出虚幻与层次感。,,,
古铜金属,材质,,古铜金属材质在室内设计中通常营造出沉稳、复古且富有历史感的空间氛围，同时带有一定的奢华与雅致气息，能为空间增添独特的岁月韵味和文化底蕴。,,,
丝绒织物,材质,,丝绒织物在室内设计中常营造出奢华、温暖且富有层次感的空间氛围，其柔软细腻的质地能为空间增添复古优雅的韵味，同时带来触感上的舒适体验。,,,
做旧材质,材质,,做旧材质在室内设计中一般会形成复古、怀旧、有岁月感和故事性的空间氛围，仿佛能让人感受到时间的沉淀与历史的痕迹。,,,
亚麻,材质,,亚麻材质在室内设计中通常营造出自然、质朴、透气的空间氛围，带有柔和的肌理感，能赋予空间宁静、舒适且略带粗犷的原生态气息。,,,
牛皮纸,材质,,牛皮纸在室内设计中通常营造出自然质朴、温暖怀旧且带有工业风或田园气息的空间氛围，其粗糙的纹理和原始的色调能增添空间的肌理感与亲和力，适合打造复古、环保或简约的室内环境。,,,
绢纱,材质,,绢纱在室内设计中通常会形成轻盈、飘逸、柔和且富有浪漫气息的空间氛围，能为空间增添灵动与朦胧之美。,,,
藤编,材质,,藤编材质在室内设计中通常能营造出自然、质朴且带有轻松休闲氛围的空间感受，同时还能增添一丝温润的田园气息与手工质感。,,,
天鹅绒布艺,材质,,天鹅绒布艺通常会形成奢华、温暖、柔和且富有质感的空间氛围，能为室内增添静谧与高级感。,,,
天然肌理,材质,,天然肌理材质能营造出自然、质朴、富有亲和力的空间氛围，让人在室内感受到与自然的连接和返璞归真的宁静。,,,
金属构件,材质,,金属构件在室内设计中通常能营造出工业风的硬朗与理性，或是现代简约的利落与精致，同时也可通过不同的表面处理和搭配，带来复古或科技感的空间氛围。,,,
贝母 贝壳,材质,,贝母和贝壳材质在室内设计中常用于装饰元素，能营造出温润、优雅且富有自然光泽的空间氛围，带有海洋的浪漫与轻盈感。,,,
天然石材,材质,,天然石材一般会形成自然质朴、沉稳大气且富有质感的空间氛围，常用于地面、墙面等装饰，能为室内带来温润的自然肌理和庄重的视觉感受。,,,
浅原木色,材质,,浅原木色材质在室内设计中通常能营造出自然、温馨、质朴且带有一丝清新感的空间氛围，给人舒适放松、贴近自然的心理感受。,,,
玻璃砖,材质,,玻璃砖在室内设计中通常会形成通透、明亮且富有光影层次感的空间氛围，同时兼具一定的私密性与装饰性。,,,
枯木,软装陈设,,任务输入中<|大类|>均为“软装陈设”，未匹配任务要求中指定的大类（设计风格、空间感受、空间构成、光影照明、造型语言、材质或色彩），无法按要求生成描述。,,,
艺术装置,软装陈设,,任务输入中<|大类|>为“软装陈设”，未在任务要求的分类范围内，无法按要求生成描述。,,,
器物,软装陈设,,任务要求中未提及<|大类|>为“软装陈设”时的处理方式，无法按照要求输出。,,,
帷幔,软装陈设,,任务输入中<|大类|>为“软装陈设”，不在任务要求所列举的“设计风格”“空间感受”“空间构成”“光影照明”“造型语言”“材质或色彩”范围内，无法按照给定要求生成输出。,,,
重点照明,光影照明,,重点照明一般会形成突出重点、强化焦点，使特定区域或物体在空间中更具层次感和视觉吸引力的氛围。,,,
洗墙灯光,光影照明,,洗墙灯光一般会在室内形成均匀、柔和且具有延展性的光效，能凸显墙面材质纹理与空间层次，营造出宁静、舒适且富有艺术感的空间氛围。,,,
中性光,光影照明,,中性光一般会形成明亮、清晰、自然的空间氛围，能真实还原物体色彩，适合需要准确判断和高效活动的室内环境，如办公室、厨房、书房等。,,,
暖光,光影照明,,暖光一般会形成温馨、舒适、具有亲和力的空间氛围，能营造出放松、温暖的室内环境，适合卧室、客厅等需要营造居家感的空间。,,,
冷光,光影照明,,冷光在室内设计中一般会形成清爽、冷静、理性且具有现代感的空间氛围，能凸显空间的简洁与通透，常用于办公、厨房、浴室等需要清晰视觉环境的区域。,,,
漫反射照明,光影照明,,漫反射照明一般会形成柔和、均匀、无明显阴影的空间氛围，光线自然不刺眼，能减少空间中的明暗对比，营造出舒适、放松、温馨的室内环境。,,,
氛围照明,光影照明,,氛围照明一般会形成温馨、舒适且富有层次感的空间氛围，能通过光线的微妙变化营造出放松、惬意的室内环境，使空间更具亲和力与生活气息。,,,
无主灯设计,光影照明,,无主灯设计通过多种分布式光源营造空间氛围，通常使空间呈现出简洁、通透且富有层次感的光影效果，光线均匀柔和，避免了传统主灯带来的强烈明暗对比，能让整体环境更显开阔与温馨，同时也为空间设计提供了更多灵活性和个性化表达。,,,
造景,无匹配类别,,无匹配类别无法按照要求进行描述,,,
复古花卉植物,无匹配类别,,由于所有<|大类|>字段均为“无匹配类别”，未满足任务要求中任何条件，无法生成相关描述。,,,
